,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
782,KAYTRANADA,10%,41SwdQIX8Hy2u6fuEDgvWr,67,0.794,0.757,6,-6.644,0,0.123,0.0267,0.000306,0.0621,0.615,107.99,186680,4
783,Lizzo,Tempo (feat. Missy Elliott),6nBQFAIVFmAx2oZ8p6lUg6,64,0.833,0.722,1,-5.563,1,0.136,0.0573,1.14e-05,0.358,0.588,107.019,175343,4
784,MC Virgins,Anime Thighs,2lRcgRTbRDeup4ZV7asE7Y,65,0.852,0.303,7,-17.143,1,0.443,0.181,0.0,0.0633,0.54,93.073,155063,4
785,NLE Choppa,Shotta Flow,4dAMdQ6g4kGmnc1MDHsg77,64,0.888,0.43,9,-6.728,1,0.588,0.0786,1.58e-06,0.132,0.45,120.088,160013,4
786,tobi lou,I Was Sad Last Night I'm OK Now,0gEcmyKlIUoi3sHTFVO1bE,63,0.87,0.637,5,-8.368,0,0.0614,0.497,3.15e-05,0.205,0.78,120.99,190561,4
787,King Von,Twin Nem,6z1nMCq1HJSZ78u2jYtrDT,63,0.871,0.545,0,-8.279,1,0.695,0.000826,0.0,0.0779,0.3,160.097,175533,4
788,Quality Control,Back On,5WptmsWwi6FEsTNxN1gUh1,64,0.529,0.754,10,-3.457,0,0.325,0.0129,0.0,0.198,0.212,175.041,145349,4
789,Offset,Legacy (feat. Travis Scott & 21 Savage),7pMRoGLEJuFM2wl5pt0R99,65,0.844,0.513,1,-8.769,1,0.335,0.178,0.0,0.0845,0.344,128.085,244941,4
790,Dave,Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,79,0.812,0.496,9,-5.969,0,0.297,0.271,0.0,0.0955,0.55,109.979,241293,4
791,NF,Only,5lehoWkVPujeOAwb8BO0uK,66,0.868,0.654,9,-4.832,0,0.0766,0.208,0.0,0.187,0.299,138.02,225440,4
792,Aflacko,"Most Hated, Pt. 1",3P7xjKJTg7tG7xWlyCpfih,62,0.422,0.608,6,-7.287,0,0.196,0.0508,0.0,0.11,0.176,84.05,80197,4
793,Halsey,Without Me (with Juice WRLD),6Zc5f20q7sOe1IC1c1jQvZ,66,0.744,0.514,6,-6.103,1,0.0746,0.355,0.0,0.184,0.449,136.013,228816,4
794,Roddy Ricch,Start Wit Me (feat. Gunna),7A20WnLkjtZU2d7hIB6Ziu,64,0.886,0.479,4,-8.054,0,0.334,0.077,0.0,0.135,0.408,130.029,158692,4
795,Sueco,fast,1FOINGDWa0dPgCpMabLT4Y,64,0.861,0.599,7,-7.814,0,0.217,0.182,0.00855,0.102,0.527,100.026,144000,4
796,Taylor Swift,Soon You’ll Get Better (feat. The Chicks),4AYtqFyFbX0Xkc2wtcygTr,67,0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476,201587,4
797,Cigarettes After Sex,Don't Let Me Go,0dBQm6NsxCQ1cOwR4zWw89,63,0.404,0.37,6,-9.603,1,0.0265,0.452,0.519,0.0982,0.162,98.655,262560,3
798,Flipp Dinero,How I Move (feat. Lil Baby),14X1WxiHXdVRJ99cMCBzOE,64,0.826,0.635,5,-5.181,0,0.212,0.102,0.0,0.245,0.808,119.954,224916,4
